,Genus,Order,Family,MassSource,Massg,LogMass,LargeSmall,Diet,DietSource
1,Acinonyx,Carnivora,Felidae,Phylacine,46700,4.669316881,Large,Non-Herbivore,Phylacine
2,Aepyosciurus,Rodentia,Sciuridae,NOW,286,2.456366033,Small,Herbivore,Phylacine
3,Aeretes,Rodentia,Sciuridae,Phylacine,732.4,2.864748336,Small,Herbivore,Phylacine
4,Ailuropoda,Carnivora,Ursidae,Phylacine,108400,5.035029282,Large,Non-Herbivore,Phylacine
5,Ailurus,Carnivora,Ailuridae,Phylacine,4900,3.69019608,Large,Non-Herbivore,Phylacine
6,Alactagulus,Rodentia,Dipodidae,Family average,51.18235294,1.709120247,Small,Herbivore,Phylacine
7,Alcelaphus,Artiodactyla,Bovidae,Phylacine,171001.5,5.23299992,Large,Herbivore,Phylacine
8,Alces,Cetartiodactyla,Cervidae,Phylacine,356998,5.552665783,Large,Herbivore,Phylacine
9,Algarolutra,Carnivora,Mustelidae,Family average,4714.521875,3.673437655,Large,Non-Herbivore,Willemsen 1992
10,Alilepus,Lagomorpha,Leporidae,Cooke,157.2818783,2.196678687,Small,Herbivore,Phylacine
11,Allactaga,Rodentia,Dipodidae,Phylacine,108.1083333,2.033859172,Small,Herbivore,Phylacine
12,Allocricetus,Rodentia,Muridae,Family average,134.3146939,2.128123527,Small,Herbivore,Phylacine
13,Allophaiomys,Rodentia,Muridae,Cooke,46.94609366,1.671599461,Small,Herbivore,Phylacine
14,Alopex,Carnivora,Canidae,Pantheria,3600,3.556302501,Large,Non-Herbivore,GroupAv
15,Alticola,Rodentia,Cricetidae,Phylacine,34.08333333,1.532542062,Small,Herbivore,Phylacine
16,Amblonyx,Carnivora,Mustelidae,Pantheria,3530,3.547774705,Large,Non-Herbivore,Willemsen 1992
17,Ammotragus,Cetartiodactyla,Bovidae,Phylacine,48000,4.681241237,Large,Herbivore,Phylacine
18,Anancus,Proboscidea,Gomphotheriidae,Family average,5855000,6.767526899,Large,Herbivore,Phylacine
19,Ancylotherium,Perissodactyla,Chalicotheriidae,Cooke,2779713.27,6.444,Large,Herbivore,Phylacine
20,Anourosorex,Eulipotyphla,Soricidae,Phylacine,23.45,1.370142847,Small,Non-Herbivore,Phylacine
21,Antilope,Cetartiodactyla,Bovidae,Phylacine,37500,4.574031268,Large,Herbivore,Phylacine
22,Antilospira,Artiodactyla,Bovidae,Family average,131331.4124,5.118368615,Large,Herbivore,Phylacine
23,Antispiroides,Artiodactyla,Bovidae,Family average,131331.4124,5.118368615,Large,Herbivore,Phylacine
24,Aonyx,Carnivora,Mustelidae,Phylacine,14849.2,4.171703057,Large,Non-Herbivore,Phylacine
25,Apodemus,Rodentia,Muridae,Phylacine,31,1.491361694,Small,Non-Herbivore,Phylacine
26,Apomys,Rodentia,Muridae,Phylacine,53.52,1.728516105,Small,Herbivore,Phylacine
27,Archaeodesmana,Eulipotyphla,Talpidae,Cooke,79.2461181,1.898977997,Small,Non-Herbivore,GroupAv
28,Arctictis,Carnivora,Viverridae,Phylacine,9875,3.994537104,Large,Non-Herbivore,Phylacine
29,Arctogalidia,Carnivora,Viverridae,Phylacine,2250,3.352182518,Large,Non-Herbivore,Phylacine
30,Arctonyx,Carnivora,Mustelidae,Phylacine,6789.133333,3.831814338,Large,Non-Herbivore,Phylacine
31,Arvernoceros,Artiodactyla,Cervidae,Family average,106166.5584,5.025987739,Large,Herbivore,Phylacine
32,Arvicola,Rodentia,Cricetidae,Phylacine,180.8333333,2.257278488,Small,Herbivore,Phylacine
33,Asoletragus,Artiodactyla,Bovidae,Family average,131331.4124,5.118368615,Large,Herbivore,Phylacine
34,Asoriculus,Eulipotyphla,Soricidae,Family average,11.45526992,1.059005327,Small,Non-Herbivore,comparable to Sorex
35,Atherurus,Rodentia,Hystricidae,Phylacine,1967,3.29380436,Large,Herbivore,Phylacine
36,Axis,Cetartiodactyla,Cervidae,Phylacine,48950.15,4.689754027,Large,Herbivore,Phylacine
37,Bahomys,Rodentia,Muridae,Family average,134.3146939,2.128123527,Small,Herbivore,Phylacine
38,Bandicota,Rodentia,Muridae,Phylacine,369.1666667,2.56722248,Small,Herbivore,Phylacine
39,Baranogale,Carnivora,Mustelidae,Cooke,3500.10361,3.544080901,Large,Non-Herbivore,comparable to Ictonyx and Vormela
40,Baranomys,Rodentia,Muridae,Family average,134.3146939,2.128123527,Small,Herbivore,Phylacine
41,Barbastella,Chiroptera,Vespertilionidae,Phylacine,11.55,1.062581984,Small,Non-Herbivore,Phylacine
42,Batomys,Rodentia,Muridae,Phylacine,168.95,2.227758196,Small,Herbivore,Phylacine
43,Belomys,Rodentia,Sciuridae,Phylacine,217,2.336459734,Small,Herbivore,Phylacine
44,Beremendia,Eulipotyphla,Soricidae,Family average,11.45526992,1.059005327,Small,Non-Herbivore,comparable to Sorex
45,Bibos,Artiodactyla,Bovidae,Family average,131331.4124,5.118368615,Large,Herbivore,Phylacine
46,Bison,Cetartiodactyla,Bovidae,Cooke,727650.0953,5.861922591,Large,Herbivore,Phylacine
