"","NAME","Equus","Coelodonta","Bos","Gazella","Ursus","Vulpes","Cervus","Canis","Sus","Homo","Rupicapra","Panthera","Stephanorhinus","Capra","Meles","Mustela","Lepus","Capreolus","Myospalax","Ochotona","Microtus","Talpa","Rangifer","Glis","Sorex","Cricetulus","Sinotherium","Mimomys","Gigantocamelus","Anancus","Promimomys","Orientalomys","Meriones","Villanyia","Palaeoloxodon","Phanourios","Castor","Alces","Martes","Lutra","Erinaceus","Homotherium","Mammuthus","Bison","Pachycrocuta","Spermophilus","Vormela","Hippopotamus","Sinoreas","Marmota","Praemegaceros","Felis","Cricetus","Arvicola","Chionomys","Prometheomys","Apodemus","Myomimus","Gazellospira","Castillomys","Petenyia","Beremendia","Eliomys","Leptobos","Praeovibos","Eucladoceros","Paradolichopithecus","Prolagus","Lynx","Procamptoceras","Desmana","Kislangia","Stephanomys","Metacervocerus","Myosorex","Galemys","Allactaga","Allocricetus","Borsodia","Prolagurus","Eolagurus","Terricola","Hexaprotodon","Pelorovis","Oryx","Crocuta","Spalax","Lagurus","Ellobius","Saiga","Gulo","Alopex","Nyctereutes","Macaca","Hydropotes","Hyaena","Pseudaxis","Ovis","Megaloceros","Pontoceros","Megantereon","Soergelia","Lagurodon","Hemitragus","Arvernoceros","Xenocyon","Blarinoides","Lemmus","Dama","Muscardinus","Glirulus","Micromys","Deinsdorfia","Germanomys","Hypolagus","Asoriculus","Elephas","Hystrix","Cuon","Rhinolophus","Myotis","Pliomys","Oryctolagus","Miniopterus","Barbastella","Allophaiomys","Dolinasorex","Plecotus","Neomys","Ovibos","Crocidura","Pannonictis","Drepanosorex","Eucladoceros.Megaloceros","Baranogale","Sciurus","Ungaromys","Clethrionomys","Soricella","Camelus","Mesocricetus","Stegodon","Megatapirus","Neofelis","Arctonyx","Capricornis","Elaphodus","Leopoldamys","Bubalus","Pseudois","Rhizomys","Dicerorhinus","Catopuma","Ailuropoda","Sinomegaceros","Proboscidipparion","Tapirus","Rhinoceros","Pongo","Hylobates","Atherurus","Muntiacus","Axis","Helarctos","Naemorhedus","Sinomastodon","Victoriamys","Sicista","Dicrostonyx","Moschus","Paguma","Propotamochoerus","Cervavitus","Budorcas","Gigantopithecus","Trachypithecus","Rhinopithecus","Trogontherium","Mus","Dryomys","Acinonyx","Plesiohipparion","Hooijeromys","Paracamelus","Parapodemus","Rhagamys","Tyrrhenicola","Rhagapodemus","Cynotherium","Spirocerus","Myopus","Stegolophodon","Shikamainosorex","Prosiphneus","Batomys","Apomys","Nesiotites","Pseudodama","Cyrnolutra","Episoriculus","Zygolophodon","Procapra","Ochotonoides","Bahomys","Monosaulax","Pliocrocuta","Croizetoceros","Gallogoral","Megalovis","Potamochoerus","Melogale","Nomascus","Dicoryphochoerus","Hippopotamodon","Scaptochirus","Hesperotherium","Rusa","Viverra","Hipparion","Nestoritherium","Procynocephalus","Procapreolus","Rattus","Chiropodomys","Duboisia","Antilope","Theropithecus","Puma","Chasmaporthetes","Palaeotragus","Kowalskia","Trischizolagus","Huaxiamys","Chardinomys","Karnimata","Saidomys","Heterosorex","Lunanosorex","Dipus","Quyania","Nannocricetus","Sinocricetus","Pseudomeriones","Paralactaga","Mesosiphneus","Pliosiphneus","Paenelimnoecus","Tadarida","Anourosorex","Eptesicus","Viverravus","Soriculus","Murina","Hipposideros","Viverricula","Rhizomyides","Bibos","Poephagus","Libralces","Algarolutra","Megalenhydris","Sardolutra","Alcelaphus","Gerbillus","Kolpochoerus","Paramachaerodus","Metacervulus","Blarinella","Chimarrogale","Pteromys","Trogopterus","Eutamias","Lasiopodomys","Mustelavus","Aeretes","Megaceroides","Vespertiliavus","Bandicota","Trilophomys","Parahyaena","Mitilanotherium","Niviventer","Hapalomys","Prionailurus","Szechuanopithecus","Parameles","Pygathrix","Petaurista","Hemiechinus","Alactagulus","Myotragus","Insulotragus","Paradoxurus","Semnopithecus","Ailurus","Eothenomys","Tamias","Huananomys","Elaphurus","Manis","Arctogalidia","Aonyx","Tragulus","Nycticebus","Amblonyx","Belomys","Ancylotherium","Tragelaphus","Lycaon","Tetraceros","Boselaphus","Synaptomys","Hemibos","Mogera","Presbytis","Crociduradracula","Spermophilinus","Pachygazella","Antilospira","Elasmotherium","Boopsis","Sciurotamias","Sivapanthera","Sericolagus","Episiphneus","Diplothrix","Protoryx","Macrotragus","Enhydrictis","Sulimskia","Neurotrichus","Pliolagus","Dolomys","Urotrichus","Geotrypus","Jordanomys","Cervalces","Lutrogale","Epileptobos","Kalymnomys","Cynogale","Euryceros","Itanzatherium","Proochotona","Baranomys","Pliolagomys","Plioscirtopoda","Megaceros","Vespertilio","Papio","Cynocephalus","Melursus","Cervulus","Macroneomys","Giraffa","Papagomys","Paulamys","Komodomys","Spelaeomys","Haploidoceros","Nipponicervus","Dorcabune","Postschizotherium","Aepyosciurus","Eirictis","Callosciurus","Hylomys","Uropsilus","Hyperacrius","Typhlomys","Vernaya","Wushanomys","Tamiops","Scaptonyx","Prionodon","Suncus","Pipistrellus","Talpavus","Ratufa","Pteropus","Archaeodesmana","Ia","Dinaromys","Nesogoral","Asoletragus","Lophocricetus","Neotetracus","Machairodus","Tatera","Arctictis","Tupaia","Rheithrosciurus","Sundasciurus","Chilotherium","Cromeromys","Yangia","Phodopus","Plesiaceratherium","Brevilagus","Metailurus","Pliospalax","Scirtopoda","Pygeretmus","Megaderma","Hylopetes","Cynopterus","Eonycteris","Emballonura","Maxomys","Millardia","Pliotragus","Leukaristomys","Alticola","Nyctalus","Echinosorex","Brachypotherium","Muva","Eucyon","Euthyceros","Alilepus","Proboselaphus","Hypselephas","Cannomys","Chiromyscus","Menetes","Vandeleuria","Scotomanes","Estramomys","Merycopotamus","Parabubalis","Mececyon","Herpestes","Sivatherium","Ammotragus","Mafia","Scalopoides","Indarctos","Chodsigoa","Lufengpithecus","Homoiodorcas","Trifurcatoceros","Cercopithecus","Euarctos","Paracervulus","Eostyloceros","Cervocerus","Antispiroides","Sinoryx","Prospalax","Pliopetaurista","Predicrostonyx","Boocercus","LAT","LONG","ALTITUDE","MAX_AGE","BFA_MAX","BFA_MAX_ABS","MIN_AGE","BFA_MIN","BFA_MIN_ABS","COUNTRY","age_range","Gen_Count","Large_GenCount","LargeHerb_GenCount","LargeNonherb_GenCount","Large_Herbprop","Small_GenCount","SmallHerb_GenCount","SmallNonherb_GenCount","Small_Herbprop","smallperlarge","smallprop","Herb_GenCount","Nonherb_GenCount","DietRatio","HerbProp","mid_age"
"1","Aba Zawei",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.25,102.4166667,"\N",0.0295,"\N","C14",0.0235,"\N","C14","China",0.006,4,4,4,0,1,0,0,0,NA,0,0,4,0,Inf,1,0.0265
"2","Abric Romani",1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.5307542,1.6796126,"\N",0.07,"\N","U-series",0.04,"\N","U-series","Spain",0.03,12,12,6,5,0.5,0,0,0,NA,0,0,6,5,1.2,0.5,0.055
"3","Acheng_Jiaojie",0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.35194444,127.0880556,"\N",0.266,"\N","U-series",0.154,"\N","U-series","China",0.112,7,5,4,1,0.8,2,1,1,0.5,0.4,0.285714285714286,5,2,2.5,0.714285714285714,0.21
"4","Adler cave",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.25,16.667,"\N",0.045,"weichselian","\N",0.01,"weichselian","\N","Czech Republic",0.035,10,5,3,2,0.6,5,3,2,0.6,1,0.5,6,4,1.5,0.6,0.0275
"5","Adyrgan",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.05,80.2,"\N",2.5,"mn17","\N",1.9,"mn17","\N","Kazakhstan",0.6,11,5,5,0,1,6,6,0,1,1.2,0.545454545454545,11,0,Inf,1,2.2
"6","Akali",1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.35,26,"\N",0.0117,"holocene","\N",0,"holocene","\N","Estonia",0.0117,11,10,6,4,0.6,1,0,1,0,0.1,0.0909090909090909,6,5,1.2,0.545454545454545,0.00585
"7","Akhalkalaki",1,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.54333333,43.46083333,"\N",1.9,"oldstylepleistocene","\N",0.0117,"oldstylepleistocene","\N","Georgia",1.8883,21,18,11,7,0.611111111111111,3,1,2,0.333333333333333,0.166666666666667,0.142857142857143,12,9,1.33333333333333,0.571428571428571,0.95585
"8","Akhshtyrskaja cave: l. 2",0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.5,40.167,"\N",0.19,"\N","C14",0.014,"ois2","\N","Russia",0.176,10,9,4,4,0.444444444444444,1,0,1,0,0.111111111111111,0.1,4,5,0.8,0.4,0.102
"9","Akhstyrskaya Cave",0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.84472222,39.31361111,"\N",0.125,"eemian","\N",0.01,"weichselian","\N","Russia",0.115,15,8,4,3,0.5,7,5,2,0.714285714285714,0.875,0.466666666666667,9,5,1.8,0.6,0.0675
"10","Alekseevsk",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.83,108.37,"\N",0.022415,"\N","C14",0.022415,"\N","C14","Russia",0,4,4,4,0,1,0,0,0,NA,0,0,4,0,Inf,1,0.022415
